Algo,p,n,alpha,seed,Mean,Sdev
part1.SortedArray,1,250000,0.050000,7,343.701321,1.767346
part1.SearchTree,1,250000,0.050000,7,446.490900,5.597876
part1.OtherArray,1,250000,0.050000,7,185.480567,2.293636
part1.SortedArray,1,250000,0.100000,7,279.430391,2.442234
part1.SearchTree,1,250000,0.100000,7,329.390415,5.549297
part1.OtherArray,1,250000,0.100000,7,156.705150,2.243780
part1.SortedArray,1,250000,0.150000,7,222.566963,4.370496
part1.SearchTree,1,250000,0.150000,7,276.002680,4.229792
part1.OtherArray,1,250000,0.150000,7,151.117338,2.203394
part1.SortedArray,1,250000,0.200000,7,208.799963,1.817163
part1.SearchTree,1,250000,0.200000,7,248.733811,4.939942
part1.OtherArray,1,250000,0.200000,7,151.156623,1.769034
part1.SortedArray,1,250000,0.250000,7,197.158288,1.956581
part1.SearchTree,1,250000,0.250000,7,226.505516,4.019460
part1.OtherArray,1,250000,0.250000,7,149.192234,1.621029
part1.SortedArray,1,250000,0.300000,7,196.831717,1.368849
part1.SearchTree,1,250000,0.300000,7,219.147094,4.399869
part1.OtherArray,1,250000,0.300000,7,155.377742,2.283761
part1.SortedArray,1,250000,0.350000,7,194.630895,1.657530
part1.SearchTree,1,250000,0.350000,7,209.690688,3.825542
part1.OtherArray,1,250000,0.350000,7,155.715538,1.687595
part1.SortedArray,1,250000,0.400000,7,200.356841,2.849446
part1.SearchTree,1,250000,0.400000,7,206.202826,3.700976
part1.OtherArray,1,250000,0.400000,7,163.034235,1.598422
part1.SortedArray,1,250000,0.450000,7,199.215449,1.582490
part1.SearchTree,1,250000,0.450000,7,202.779300,3.875774
part1.OtherArray,1,250000,0.450000,7,165.692310,1.734545
part1.SortedArray,1,250000,0.500000,7,197.510401,4.109011
part1.SearchTree,1,250000,0.500000,7,199.665175,3.180160
part1.OtherArray,1,250000,0.500000,7,167.097367,1.949814
part1.SortedArray,1,250000,0.550000,7,196.634587,1.641088
part1.SearchTree,1,250000,0.550000,7,194.455568,4.168784
part1.OtherArray,1,250000,0.550000,7,165.076872,2.336938
part1.SortedArray,1,250000,0.600000,7,195.539872,1.791792
part1.SearchTree,1,250000,0.600000,7,191.425833,13.635230
part1.OtherArray,1,250000,0.600000,7,162.465535,4.110513
part1.SortedArray,1,250000,0.650000,7,194.876269,4.346456
part1.SearchTree,1,250000,0.650000,7,187.731633,3.925257
part1.OtherArray,1,250000,0.650000,7,159.198488,1.847181
part1.SortedArray,1,250000,0.700000,7,193.732980,1.696904
part1.SearchTree,1,250000,0.700000,7,184.627663,3.673928
part1.OtherArray,1,250000,0.700000,7,155.680740,1.700501
part1.SortedArray,1,250000,0.750000,7,197.287856,1.853190
part1.SearchTree,1,250000,0.750000,7,182.844618,3.975414
part1.OtherArray,1,250000,0.750000,7,154.127837,1.836564
part1.SortedArray,1,250000,0.800000,7,204.014433,1.845236
part1.SearchTree,1,250000,0.800000,7,186.308829,3.645029
part1.OtherArray,1,250000,0.800000,7,152.843929,2.146657
part1.SortedArray,1,250000,0.850000,7,215.334624,1.657572
part1.SearchTree,1,250000,0.850000,7,187.859918,3.983417
part1.OtherArray,1,250000,0.850000,7,153.545555,1.961252
part1.SortedArray,1,250000,0.900000,7,247.306982,1.696039
part1.SearchTree,1,250000,0.900000,7,201.018417,4.550110
part1.OtherArray,1,250000,0.900000,7,162.326679,1.899854
part1.SortedArray,1,250000,0.050000,943,349.201118,1.912514
part1.SearchTree,1,250000,0.050000,943,489.051335,6.226865
part1.OtherArray,1,250000,0.050000,943,184.499823,1.669417
part1.SortedArray,1,250000,0.100000,943,250.609828,1.980024
part1.SearchTree,1,250000,0.100000,943,330.815828,4.346904
part1.OtherArray,1,250000,0.100000,943,157.531638,2.439343
part1.SortedArray,1,250000,0.150000,943,216.226920,1.494271
part1.SearchTree,1,250000,0.150000,943,274.213983,5.021281
part1.OtherArray,1,250000,0.150000,943,148.627751,1.687022
part1.SortedArray,1,250000,0.200000,943,204.843288,2.141684
part1.SearchTree,1,250000,0.200000,943,248.690386,4.162440
part1.OtherArray,1,250000,0.200000,943,148.800553,1.609444
part1.SortedArray,1,250000,0.250000,943,195.282901,1.828761
part1.SearchTree,1,250000,0.250000,943,229.010461,4.718180
part1.OtherArray,1,250000,0.250000,943,148.877220,1.631743
part1.SortedArray,1,250000,0.300000,943,196.262907,2.035418
part1.SearchTree,1,250000,0.300000,943,220.907140,5.500110
part1.OtherArray,1,250000,0.300000,943,153.516925,2.067592
part1.SortedArray,1,250000,0.350000,943,195.945126,1.567921
part1.SearchTree,1,250000,0.350000,943,214.885320,7.912343
part1.OtherArray,1,250000,0.350000,943,157.865104,1.599422
part1.SortedArray,1,250000,0.400000,943,200.352305,1.915701
part1.SearchTree,1,250000,0.400000,943,209.107178,5.110043
part1.OtherArray,1,250000,0.400000,943,163.386046,1.807360
part1.SortedArray,1,250000,0.450000,943,200.916212,1.798694
part1.SearchTree,1,250000,0.450000,943,202.540845,4.085420
part1.OtherArray,1,250000,0.450000,943,167.094297,1.766595
part1.SortedArray,1,250000,0.500000,943,197.508230,1.893475
part1.SearchTree,1,250000,0.500000,943,198.976421,5.192542
part1.OtherArray,1,250000,0.500000,943,166.839077,2.140912
part1.SortedArray,1,250000,0.550000,943,200.919867,1.592075
part1.SearchTree,1,250000,0.550000,943,194.513833,3.828754
part1.OtherArray,1,250000,0.550000,943,166.835016,1.944236
part1.SortedArray,1,250000,0.600000,943,195.564517,1.703448
part1.SearchTree,1,250000,0.600000,943,189.990046,4.853314
part1.OtherArray,1,250000,0.600000,943,161.070021,1.832748
part1.SortedArray,1,250000,0.650000,943,197.962973,2.115431
part1.SearchTree,1,250000,0.650000,943,189.742249,5.439928
part1.OtherArray,1,250000,0.650000,943,161.901643,1.741708
part1.SortedArray,1,250000,0.700000,943,192.957384,1.857271
part1.SearchTree,1,250000,0.700000,943,183.160323,3.491416
part1.OtherArray,1,250000,0.700000,943,155.116493,1.768841
part1.SortedArray,1,250000,0.750000,943,194.390389,1.926247
part1.SearchTree,1,250000,0.750000,943,184.577744,4.184480
part1.OtherArray,1,250000,0.750000,943,152.285620,1.570406
part1.SortedArray,1,250000,0.800000,943,200.753209,1.696713
part1.SearchTree,1,250000,0.800000,943,182.841753,3.981090
part1.OtherArray,1,250000,0.800000,943,149.650315,1.743561
part1.SortedArray,1,250000,0.850000,943,212.298466,1.798785
part1.SearchTree,1,250000,0.850000,943,187.523471,4.629905
part1.OtherArray,1,250000,0.850000,943,151.271767,1.721451
part1.SortedArray,1,250000,0.900000,943,242.877024,1.893967
part1.SearchTree,1,250000,0.900000,943,199.829655,3.955365
part1.OtherArray,1,250000,0.900000,943,159.576076,1.494984
part1.SortedArray,1,250000,0.050000,57438,348.553642,1.811979
part1.SearchTree,1,250000,0.050000,57438,483.441166,6.485489
part1.OtherArray,1,250000,0.050000,57438,184.913320,1.715577
part1.SortedArray,1,250000,0.100000,57438,251.201466,1.821030
part1.SearchTree,1,250000,0.100000,57438,330.413652,4.526740
part1.OtherArray,1,250000,0.100000,57438,157.758554,1.510056
part1.SortedArray,1,250000,0.150000,57438,216.440780,1.636280
part1.SearchTree,1,250000,0.150000,57438,276.311775,5.591778
part1.OtherArray,1,250000,0.150000,57438,148.046113,1.695549
part1.SortedArray,1,250000,0.200000,57438,203.557519,1.535896
part1.SearchTree,1,250000,0.200000,57438,236.478251,4.292169
part1.OtherArray,1,250000,0.200000,57438,146.377935,1.457774
part1.SortedArray,1,250000,0.250000,57438,197.602689,1.557473
part1.SearchTree,1,250000,0.250000,57438,228.579182,3.525709
part1.OtherArray,1,250000,0.250000,57438,150.539825,1.691836
part1.SortedArray,1,250000,0.300000,57438,196.802205,1.770113
part1.SearchTree,1,250000,0.300000,57438,218.978655,5.471780
part1.OtherArray,1,250000,0.300000,57438,154.372469,1.825251
part1.SortedArray,1,250000,0.350000,57438,196.227495,1.769177
part1.SearchTree,1,250000,0.350000,57438,210.382128,3.775023
part1.OtherArray,1,250000,0.350000,57438,158.105935,1.664931
part1.SortedArray,1,250000,0.400000,57438,199.709765,1.898445
part1.SearchTree,1,250000,0.400000,57438,207.624535,3.335291
part1.OtherArray,1,250000,0.400000,57438,162.703654,1.539417
part1.SortedArray,1,250000,0.450000,57438,199.563565,2.253143
part1.SearchTree,1,250000,0.450000,57438,203.122734,3.387741
part1.OtherArray,1,250000,0.450000,57438,165.338023,1.884532
part1.SortedArray,1,250000,0.500000,57438,198.489716,1.822785
part1.SearchTree,1,250000,0.500000,57438,198.116658,3.562245
part1.OtherArray,1,250000,0.500000,57438,168.331552,1.623478
part1.SortedArray,1,250000,0.550000,57438,201.259631,1.425686
part1.SearchTree,1,250000,0.550000,57438,193.980088,3.206664
part1.OtherArray,1,250000,0.550000,57438,167.195782,1.865735
part1.SortedArray,1,250000,0.600000,57438,198.685488,1.839013
part1.SearchTree,1,250000,0.600000,57438,191.781755,3.466849
part1.OtherArray,1,250000,0.600000,57438,163.304993,1.817937
part1.SortedArray,1,250000,0.650000,57438,196.278678,2.103324
part1.SearchTree,1,250000,0.650000,57438,186.986453,3.264731
part1.OtherArray,1,250000,0.650000,57438,160.376023,1.723028
part1.SortedArray,1,250000,0.700000,57438,194.153174,1.497873
part1.SearchTree,1,250000,0.700000,57438,182.828627,3.072383
part1.OtherArray,1,250000,0.700000,57438,156.380601,1.627517
part1.SortedArray,1,250000,0.750000,57438,196.801087,1.481949
part1.SearchTree,1,250000,0.750000,57438,183.410852,3.784129
part1.OtherArray,1,250000,0.750000,57438,153.733069,1.813221
part1.SortedArray,1,250000,0.800000,57438,203.950042,1.563388
part1.SearchTree,1,250000,0.800000,57438,182.121627,3.209576
part1.OtherArray,1,250000,0.800000,57438,153.336571,3.544198
part1.SortedArray,1,250000,0.850000,57438,216.425110,1.737876
part1.SearchTree,1,250000,0.850000,57438,187.601868,3.510210
part1.OtherArray,1,250000,0.850000,57438,153.640491,1.794162
part1.SortedArray,1,250000,0.900000,57438,247.120437,2.149234
part1.SearchTree,1,250000,0.900000,57438,201.493075,5.447678
part1.OtherArray,1,250000,0.900000,57438,162.730549,1.954057
